,SMAPE,MASE,OWA,MAE,RMSE
Q2836,25.55070066024168,0.8146426126578457,0.8760565412529298,482.6350158691406,562.0275678754394
Q2837,15.22186420045403,1.0684017699056605,1.3102403522902224,150.83817138671878,194.70811530738865
Q2838,50.94273578921111,1.1895704098100524,1.5059022872529928,1055.1847839355469,1094.2751924941977
Q2839,156.71058186435673,22.334471194653656,16.555967245524798,22236.98237915039,22347.739756558298
Q2840,36.75425070892959,5.802589982776866,9.16457174054216,3081.228515625,3098.470481413816
Q2841,35.54809135757287,2.366234394360412,3.8156424030549214,2816.904357910156,2913.2391808604093
Q2842,18.09142605927769,3.56730735706229,4.015710663723146,1754.526123046875,1826.961207984464
Q2843,7.810220560199029,1.6088210458483212,2.7221366215931884,81.68087768554688,85.25377227541085
Q2844,3.263293022388104,0.4166529235586405,0.7383117189018686,322.1988525390625,401.9990823274726
Q2845,42.05244411301386,4.280355655366786,9.038129796387702,3569.973693847656,3589.4659146965387
Q2846,55.33089604601555,5.66496558513476,4.950059384828059,4855.759033203125,5090.915940895014
Q2847,95.97036076649434,9.302238478330963,9.713375062836096,5847.631408691406,5876.598499697518
Q2848,44.499101476058826,9.478731801927038,11.69652100641229,4277.2532958984375,4321.091301857526
Q2849,60.502763391210365,12.684149760700398,10.238209166427744,1624.1334564208985,1633.214895333858
Q2850,67.5846229958343,3.659285807442255,2.6867027505425254,1492.8451080322266,1636.6506380928947
Q2851,5.043625446305028,0.9284745861434808,4.71615344045145,495.9246826171875,510.4771979961409
Q2852,42.35541213020932,7.204615910330205,4.413808500648516,892.7774963378906,906.3223958057058
Q2853,89.14415420580306,9.146497494473042,6.32847966836213,1742.8692932128906,1770.3444721604342
Q2854,82.98700728509785,10.659940379557566,30.25565925182724,5736.162689208984,5738.673619815276
Q2855,62.4305317928072,8.24283458973944,12.398311418315313,4677.936096191406,4700.678254432572
Q2856,62.7531473333473,10.7721402134323,9.609969439302272,3073.602551269531,3083.1027999400394
Q2857,22.338511882730707,1.0980608483084553,0.9115365084601268,411.7162170410156,558.4357886955329
Q2858,61.815957904138806,10.61316195743875,25.63696165789775,3039.073455810547,3044.053486095293
Q2859,57.118847056072894,8.097467718072021,14.05290375892498,4378.309143066406,4399.565975103322
Q2860,42.17323343062908,6.921116981053587,9.868603556076316,709.3788146972656,711.0989356309328
Q2861,75.92628408559071,9.558151009714702,14.935905637308654,5109.767822265625,5116.119453414791
Q2862,51.27118893626139,3.059423111384626,1.600360451624251,5146.138916015625,6315.922754053951
Q2863,20.445309094944687,2.913330945541536,1.929179868606122,1032.4951782226562,1141.567736061678
Q2864,10.035530545439638,0.5446573025974105,1.062564574361002,97.33754394531248,111.20396901863572
Q2865,50.19754178935092,2.3380273646308227,1.1530497900565346,4518.088586425782,5157.88270789766
Q2866,90.87110627195804,21.93267362449201,16.70941368272438,2620.171188354492,2631.0977098865023
Q2867,60.21538900980358,1.842709580142582,2.036139168511753,3149.625689697265,3461.7843599123285
Q2868,9.736092602332588,1.5382286645334664,0.7299948567231853,834.1932373046875,912.4404179052603
Q2869,82.34377421927451,15.15348185362771,19.16424945775328,2262.8560180664062,2265.811772519977
Q2870,53.164422538624734,1.374040525153657,2.29615196678331,2511.0027465820312,2690.150827465734
Q2871,69.53284978309875,14.39098851439704,24.17089470529297,3387.6386962890624,3388.258925394296
Q2872,8.00876000028912,0.9773757842498628,1.5039515611059056,244.076171875,255.34054359568773
Q2873,58.60820316699533,10.871282822592963,6.926887613302394,972.9798126220704,979.7128896415404
Q2874,7.137108672164459,1.964556706243824,0.8386580849061622,477.9161987304688,583.3453889505648
Q2875,40.45950976404685,7.618608131218905,2.5109417810927424,820.36083984375,862.0940141868211
Q2876,57.82601339567558,0.6567669076169599,1.0268240190752929,2362.4599609375,2892.8879319040134
Q2877,60.8064818564362,16.652400408645924,20.10618708986348,1822.1568908691409,1827.8733702466827
Q2878,11.77926881877461,1.0303990244958452,0.9745885259209072,237.01815798828125,280.6053764119431
Q2879,91.59078721812016,19.07801699118846,22.367854799328267,13320.544006347656,13350.573033241892
Q2880,39.80422595539528,12.043696819548131,18.32696888085506,1929.3075866699216,1942.155092265242
Q2881,74.37622802591105,19.313134316263977,16.647114673644612,5752.382568359375,5777.400167134623
Q2882,59.77737432615615,4.209015482981455,8.134803330096336,1010.6965026855468,1036.2717490731663
Q2883,37.03511695072429,7.092290428201989,11.95504610909159,1357.4105224609375,1363.6619853868783
Q2884,45.80265602915479,13.58724200924073,18.205636109004,2839.994873046875,2861.2054461886605
Q2885,102.99728206496394,18.87236206230328,38.04745872266184,10751.058715820312,10753.550687045314
Q2886,99.03073242626132,16.152500105328308,11.1836303862957,8204.36482421875,8291.940100813552
Q2887,38.26581919539132,2.3420582267236822,6.017908442559988,1781.8839721679688,1797.4309509427317
Q2888,8.368601174415666,0.381974382762823,2.1331974021495665,201.08685302734372,222.87183040667315
Q2889,29.42983127678631,1.799356680923498,6.564988932202225,1602.0616455078125,1618.645303084353
Q2890,74.51975603905696,19.02786505937955,18.528719589174308,9458.85186767578,9484.752733209443
Q2891,53.9381371872181,6.717868060322636,2.416197940129889,1716.88671875,1864.4699470181008
Q2892,79.07793296268686,5.971321646229341,18.721899580494014,1971.3430786132808,1972.430213766606
Q2893,23.704110779872767,2.512491116147552,1.8648994061076023,2237.6598510742188,2570.974494785136
Q2894,35.08742291056735,3.696292590025714,3.055663014575099,607.2943878173828,656.7639047584148
Q2895,39.96322107530969,3.056460797319596,5.1777044693926335,4734.8331298828125,4783.619773581774
Q2896,36.4911238389794,5.517766516910145,24.77979370348457,511.6034393310547,511.9637108880595
Q2897,33.490869294245655,8.467956237792968,10.881670975753227,3387.1824951171875,3396.027907457062
Q2898,27.97237482169628,1.265998541121812,1.7011186112757777,545.3788452148438,602.9295943166607
Q2899,6.972862710407759,0.3871976884051067,2.7887168473473007,168.16848754882812,180.15016613480415
Q2900,26.56380243249136,1.1765214597545384,1.9345056102778295,256.3578338623047,270.8562088167596
Q2901,48.25388290860951,10.34532367756673,27.13304896243586,755.9346160888672,756.9911396679252
Q2902,68.12654691276889,15.10753569988767,8.998819587067189,8776.039428710938,8875.005044148604
Q2903,62.98277131918947,12.283567949873746,11.787840038982814,7752.978637695312,7771.891879485735
Q2904,51.63657805749586,10.20074106823066,9.749742053057004,2119.08251953125,2161.797838877138
