,SMAPE,MASE,OWA,MAE,RMSE
H1,2.011501870380305,0.3007859703710069,0.1909722328376248,12.74469312032064,16.957900282457164
H2,6.043561125597117,0.9660713893234883,0.533246455061405,159.506103515625,187.62888102087547
H3,8.538582144042136,1.59889570407631,0.8536045994071217,126.13536834716795,176.07835422495205
H4,9.677941970937225,1.7495673168063606,1.027494755820479,453.1068776448568,505.06542879354
H5,13.493097347415638,1.7374339562778305,0.9699098980627022,348.34522755940753,388.8037313079595
H6,12.009186088344446,3.524878197573067,1.8148821089287648,750.3610534667969,868.1074578617912
H7,10.665572606884831,2.211079518379892,1.1959182369360837,4306.492757161458,4596.105343273013
H8,6.436581157929638,1.2087691397546942,0.7006665549554184,1963.0947265625,2268.038544303491
H9,6.129076231638686,1.241220368037829,0.8500075105671223,2297.4842122395835,2744.28452461332
H10,5.349271568533902,2.2921091225881223,1.413067692140988,24.128178278605144,30.12917235130629
H11,9.856510314394304,1.9673502078346896,1.204611114355557,3232.207967122396,3562.0414817835795
H12,9.68987650830604,1.6251879759720416,0.9877121577906672,848.9227091471354,946.3066864561068
H13,7.193694666556675,1.137638757465531,0.7045343851668739,45.9868590037028,56.27614162916039
H14,7.668016409596766,1.6896781027900134,1.02495757863771,14.90466054280599,18.690893940089524
H15,6.831679890359974,1.1984194534453514,0.7699524283391884,1061.9715983072915,1391.8001926745667
H16,5.726046168630795,1.069996231659556,0.5931953361686053,75.93649291992188,88.0198727369731
H17,1.7240693532079174,0.7431656316456475,0.1929390863564417,923.8824055989584,1338.3152770882955
H18,4.109784127629922,0.9145703148937536,0.4063795689902638,1291.5369873046875,1606.602570598548
H19,7.870227884933753,1.498312603170594,0.7734318420483783,173.6247304280599,196.5107370645753
H20,6.952123824252641,1.1483593720482417,0.6291953203214005,480.5255432128906,526.248408654793
H21,3.428143143019557,0.7434921656050393,0.3432297936204439,598.6376749674479,950.3449212884052
H22,6.924548994661719,2.725941178570055,1.8173688563762456,47.09910202026367,57.51102371126552
H23,7.119121745618561,0.8358473261422711,0.6651901086848861,20.716896375020344,27.78642922168631
H24,12.473556415665376,1.6909520085691294,0.9434010521613738,76.31240844726562,84.5177243883377
