,SMAPE,MASE,OWA,MAE,RMSE
Y1,7.812034416984432,4.948112562807261,2.8137699312786264,570.35244140625,598.5929911834679
Y2,11.782066868351995,0.8020867871352785,0.7210110065550381,151.193359375,181.30631322676064
Y3,32.56796180009087,13.20435830112878,9.829853124387844,2473.616455078125,2485.97605383486
Y4,14.669987817437423,6.422224538854003,6.036051642654737,1363.65234375,1391.6699672397526
Y5,54.91836364790172,19.418595003442288,6.10828362095394,3378.8355305989585,3433.2511172250265
Y6,33.93497995461682,10.914092963205436,3.575671429675079,1225.1433154296876,1279.3956566992126
Y7,23.403551579695037,7.90517769499182,3.2636646748386697,696.525206705729,709.5276992210919
Y8,0.9923411854409868,0.965636142602456,1.7236127531090262,23.470859374999996,23.90898656511897
Y9,5.295987461055387,5.487799431393111,4.612256326601804,114.92092252604168,115.44209230713598
Y10,1.7890833891002191,1.4450001046824494,0.743248657152564,38.34347916666669,43.41176985323912
Y11,4.984976263886287,5.767814396963839,4.007333317191095,70.80761214192705,71.64752812567049
Y12,16.986696964860414,8.889880241197126,6.432386585697046,313.36837727864594,316.3281982811128
Y13,20.20755453592061,5.710838724424391,4.638637099560281,946.66669921875,966.4380573713116
Y14,12.869197442140502,4.277815317773633,3.1453651169566763,646.4016601562502,688.1440623840307
Y15,23.975309454764947,7.078531963984626,4.099755910007402,1271.10771484375,1327.6332169159489
Y16,18.92873154447184,6.318447463511952,3.259775843729023,535.2778076171875,543.4913568399485
Y17,14.33701228293195,4.987945545711936,3.944302282308231,541.6631754557292,553.9087057636543
Y18,13.410582454721473,5.089009376579878,3.2900850012557785,447.38046875,459.20770170230855
Y19,58.043488493234726,6.417636519546812,6.14623948767939,1118.629698893229,1128.855344385207
Y20,27.541651187578417,9.338875450906547,4.038382396578458,1765.8568294270833,1795.054673208002
Y21,26.51270562199305,6.149839102311841,2.713927775847956,2094.49853515625,2300.5160580468246
Y22,26.015195588807817,5.330820147837453,2.94002314372068,885.9349235026042,905.3854553811188
Y23,3.5824732493003717,0.8064611617051467,0.535066589051,273.5202636718752,392.81514212970256
Y24,17.10238178756422,4.155324516126165,2.331350059360936,1233.337252604167,1259.2262283922862
Y25,32.956984320413326,9.666457334738322,5.023035608757226,681.3993180338541,687.3184066162826
Y26,22.42277849954384,4.368194278070422,2.792706382030816,1220.9661165364585,1240.6890304141305
Y27,23.78890632350329,5.842000975407786,3.701594258621676,331.0253012695312,333.58562872394083
Y28,15.87715906362374,3.91989829631082,2.821791478993842,211.9493364257812,214.45494003975756
Y29,4.45610022840308,3.361788645277125,1.9372108436597484,169.01243001302086,169.78819031742714
Y30,15.329728236404684,7.051144245718831,6.091566125252269,631.4009791666667,636.1732910484463
Y31,1.935873331369049,1.1735829487569087,1.0280155422305637,69.67346809895828,73.29237907776593
Y32,3.538844004069102,3.069208460856314,2.485839641093526,176.07997786458327,176.6077688165027
Y33,3.58346207160685,2.659673214631346,2.5833104478946707,41.7963212890625,42.0707016066512
Y34,6.479597431100757,5.693508300925834,3.8955030560658623,102.01719902343751,102.74155005975162
Y35,9.821517697884053,5.316184721875628,5.315143985345733,300.3186585286458,300.6480971357313
Y36,2.4582024323143634,2.71428804949754,1.611726231483555,26.535845052083385,26.77742736762624
Y37,11.65943371846954,7.03602579947789,4.867665767142864,416.8970371093751,417.9981973025442
Y38,26.46393488976213,1.6668063711399477,0.6454156704176304,1510.0472005208333,1671.3676703468066
Y39,138.72249629009335,37.83258423255112,6.365172609633252,4092.1098836263022,4207.87332474141
Y40,135.49468021628357,67.39599139804913,21.835594483556346,4210.733052571614,4219.121688121136
Y41,91.99300164651868,49.24813322133534,22.31658002346566,9914.387939453129,9929.27321761332
Y42,127.7637286391241,41.20831477943823,27.65542171671341,4560.3307698567705,4561.539156394398
Y43,117.55274423493412,38.352560629261326,33.41110405452515,2171.521982828776,2172.0164259449293
Y44,93.65640120853442,38.43144972973152,19.64369346567104,6905.900927734375,6913.712126725054
